date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,SMA_20,RSI,SMA_10,EMA_12,EMA_26,RSI_14,MACD,MACD_signal,BB_upper,BB_lower,BB_percent,Volatility,ATR,OBV,Daily_Return,Cumulative_Return
2024-07-19,14.49,14.5,13.96,13.98,13.15,75908600,75908600,-0.51,-3.52,14.2325,"July 19, 24",-0.0352,13.128,67.46583147839465,13.818000000000001,13.742529225105267,13.175960596732162,67.46583147839465,0.5665686283731048,,14.82928892314034,11.426711076859661,0.7503983857213766,0.7014866474021695,0.34274185982180194,604313815,-3.9175257731958735,0.14684167350287125
2024-07-22,14.02,14.18,13.79,14.12,13.28,59116800,59116800,0.0999,0.71327,14.0275,"July 22, 24",0.0071327,13.242,69.27500283666458,13.931999999999999,13.80060165201215,13.245889441418669,69.27500283666458,0.5547122105934807,0.47361033913387074,14.887425173017606,11.596574826982396,0.766800342670643,0.6794082751892448,0.3461174412631018,663430615,1.0014306151645114,0.1583264971287941
2024-07-23,14.06,14.07,13.57,13.83,13.01,85897700,85897700,-0.23,-1.64,13.8825,"July 23, 24",-0.0164,13.322,61.629856639108155,14.025,13.805124474779511,13.289156890202472,61.629856639108155,0.5159675845770391,0.4820817882225044,14.91766412505891,11.726335874941089,0.65918136906827,0.6438517336662813,0.36068048117288015,577532915,-2.053824362606227,0.1345365053322396
2024-07-24,13.73,13.88,13.59,13.67,12.86,81768700,81768700,-0.06,-0.437,13.7175,"July 24, 24",-0.00437,13.401,57.837366823507686,14.075,13.784336094044201,13.317367490928214,57.837366823507686,0.466968603115987,0.47905915120120096,14.898276193626286,11.903723806373714,0.5898297859623691,0.59812527630411,0.35563187537481733,495764215,-1.156905278380338,0.12141099261689914
2024-07-25,11.8,11.98,11.15,11.16,10.5,259484000,259484000,-0.64,-5.42,11.5225,"July 25, 24",-0.0542,13.3535,28.357030353723644,13.844,13.380592079575862,13.1575624916002,28.357030353723644,0.2230295879756632,0.4278532385560934,15.057580690577772,11.649419309422228,-0.14360215221272457,0.892826109350797,0.5102295985623303,236280215,-18.361375274323333,-0.08449548810500407
2024-07-26,11.21,11.36,11.05,11.19,10.53,79599900,79599900,-0.015,-0.17841,11.2025,"July 26, 24",-0.0017841,13.301499999999999,28.8240011386805,13.559999999999999,13.043577913487267,13.011817121852037,28.8240011386805,0.03176079163523049,0.34863474917192083,15.192735310584068,11.41026468941593,-0.05823302055097169,1.098979796632591,0.4959274843793066,315880115,0.26881720430107503,-0.08203445447087776
2024-07-29,11.18,11.18,10.8,11.01,10.36,91667537,91667537,-0.17,-1.52,11.0425,"July 29, 24",-0.0152,13.225,27.659097323615256,13.238,12.730719772950765,12.863534372085219,27.659097323615256,-0.13281459913445381,0.25234487951064594,15.343390898771993,11.106609101228006,-0.022802472689060726,1.2809757613237325,0.4883612354950703,224212578,-1.608579088471851,-0.09680065627563572
2024-07-30,11.03,11.11,10.78,10.84,10.2,69337033,69337033,-0.19,-1.72,10.94,"July 30, 24",-0.0172,13.129,26.56705295808321,12.883000000000001,12.439839807881416,12.713642937115944,26.56705295808321,-0.273803129234528,0.14711527776161115,15.48380699846081,10.774193001539189,0.013972907016121716,1.4501483440600935,0.47704971867399387,154875545,-1.5440508628519534,-0.11074651353568499
2024-07-31,10.86,11.01,10.72,10.82,10.18,75478000,75478000,-0.04,-0.36832,10.8525,"July 31, 24",-0.0036832,13.026499999999999,26.43481858156622,12.517,12.190633683591967,12.573373089922171,26.43481858156622,-0.3827394063302041,0.0411443409432481,15.586963044060585,10.466036955939412,0.06912090468981061,1.5807683484396375,0.46368902448299426,79397545,-0.18450184501844769,-0.11238720262510249
2024-08-01,10.86,10.92,10.61,10.69,10.06,60516500,60516500,-0.17,-1.57,10.77,"August 01, 24",-0.0157,12.9175,25.544795121663412,12.131,11.959766963039357,12.433863972150158,25.544795121663412,-0.47409700911080144,-0.061903929067561814,15.67347441932976,10.16152558067024,0.09587796164274302,1.666555307635062,0.4527112370199233,18881045,-1.201478743068396,-0.12305168170631664
